Item,Title,Price,Image_link,Purchase_link
WE,WE L9,"5,990",https://www.buymobile.com.bd/image/cache/catalog/we%20mobile/we-l9/v1-228x228.jpg,https://www.buymobile.com.bd/we-l9
WE,WE F1,"5,490",https://www.buymobile.com.bd/image/cache/catalog/we%20mobile/we-f1/v1-228x228.jpg,https://www.buymobile.com.bd/we-f1
WE,WE R4,"7,590",https://www.buymobile.com.bd/image/cache/catalog/we%20mobile/we-r4/v1-228x228.jpg,https://www.buymobile.com.bd/we-r4
WE,WE V4,"9,090",https://www.buymobile.com.bd/image/cache/catalog/we%20mobile/we-v4/v1-228x228.jpg,https://www.buymobile.com.bd/we-v4
Maximus,Maximus M314b,"1,400",https://www.buymobile.com.bd/image/cache/catalog/maximus/M314b/m0-228x228.jpg,https://www.buymobile.com.bd/maximus-m314b
Infinix,Infinix Note 5,"14,990",https://www.buymobile.com.bd/image/cache/catalog/infinix/note-5/in1-228x228.jpg,https://www.buymobile.com.bd/infinix-note-5
Nokia,Nokia 8110 4G,"7,200",https://www.buymobile.com.bd/image/cache/catalog/nokia/8110-4g/n1-228x228.jpg,https://www.buymobile.com.bd/nokia-8110-4g
UMIDIGI,UMIDIGI Z2,0,https://www.buymobile.com.bd/image/cache/catalog/umidigi/umidigi-z2/z1-228x228.jpg,https://www.buymobile.com.bd/umidigi-z2
UMIDIGI,UMIDIGI Z2 Pro,0,https://www.buymobile.com.bd/image/cache/catalog/umidigi/z2-pro/z3-228x228.jpg,https://www.buymobile.com.bd/umidigi-z2-pro
Xiaomi,Xiaomi Redmi S2 (4/64GB),"17,990",https://www.buymobile.com.bd/image/cache/catalog/xiaomi/redmi-s2/b2-228x228.jpg,https://www.buymobile.com.bd/xiaomi-redmi-s2-4gb
Xiaomi,Xiaomi Redmi S2 (3/32GB),"14,990",https://www.buymobile.com.bd/image/cache/catalog/xiaomi/redmi-s2/b1-228x228.jpg,https://www.buymobile.com.bd/xiaomi-redmi-s2-3gb
Maximus,Maximus M326m,"1,200",https://www.buymobile.com.bd/image/cache/catalog/maximus/m326m/m1-228x228.jpg,https://www.buymobile.com.bd/maximus-m326m
Maximus,Maximus M8i,950,https://www.buymobile.com.bd/image/cache/catalog/maximus/m8i/m1-228x228.jpg,https://www.buymobile.com.bd/maximus-m8i
Maximus,Maximus M10i,950,https://www.buymobile.com.bd/image/cache/catalog/maximus/m10i/m1-228x228.jpg,https://www.buymobile.com.bd/maximus-m10i
Maximus,Maximus M20i,790,https://www.buymobile.com.bd/image/cache/catalog/maximus/m20i/m1-228x228.jpg,https://www.buymobile.com.bd/maximus-m20i
HTC,HTC DESIRE 10 PRO,"18,000",https://www.buymobile.com.bd/image/cache/catalog/htc/desire-10-pro/h1-228x228.jpg,https://www.buymobile.com.bd/htc-desire-10-pro
HTC,HTC Desire 12,"15,500",https://www.buymobile.com.bd/image/cache/catalog/htc/desire-12/h2-228x228.jpg,https://www.buymobile.com.bd/htc-desire-12
Xiaomi,Xiaomi Redmi 5 Plus(3/32 GB),"15,499",https://www.buymobile.com.bd/image/cache/catalog/xiaomi/redmi-5-plus/b1-228x228.jpg,https://www.buymobile.com.bd/redmi-5plus-3-32gb
Xiaomi,Xiaomi Redmi 5 Plus(4/64 GB),"18,499",https://www.buymobile.com.bd/image/cache/catalog/xiaomi/redmi-5-plus/b1-228x228.jpg,https://www.buymobile.com.bd/redmi-5-plus-4-64gb
UMIDIGI,UMIDIGI A1 Pro,"11,490",https://www.buymobile.com.bd/image/cache/catalog/umidigi/a1-pro/new-228x228.jpg,https://www.buymobile.com.bd/umidigi-a1-pro
UMIDIGI,UMIDIGI S2 Lite,"15,990",https://www.buymobile.com.bd/image/cache/catalog/umidigi/s2-lite/s2-228x228.jpg,https://www.buymobile.com.bd/umidigi-s2-lite
Maximus,Maximus M19,950,https://www.buymobile.com.bd/image/cache/catalog/maximus/maximus-m19/m192-228x228.jpg,https://www.buymobile.com.bd/maximus-m19
Xiaomi,Xiaomi Redmi Note 5 AI(3/32),"17,999",https://www.buymobile.com.bd/image/cache/catalog/xiaomi/redmi-note5/33-228x228.jpg,https://www.buymobile.com.bd/redmi-note-5-3gb
Xiaomi,Xiaomi Redmi Note 5 AI(4/64),"20,990",https://www.buymobile.com.bd/image/cache/catalog/xiaomi/redmi-note5/1-228x228.jpg,https://www.buymobile.com.bd/redmi-note-5-4gb
Maximus,Maximus  M23,"1,150",https://www.buymobile.com.bd/image/cache/catalog/maximus/m23/m23-2-228x228.jpg,https://www.buymobile.com.bd/maximus-m23
OPTOUCH,OPTOUCH T5,"1,399",https://www.buymobile.com.bd/image/cache/catalog/optouch/op-t5/c2-228x228.jpg,https://www.buymobile.com.bd/optouch-t5
Maximus,Maximus Max 912,"4,650",https://www.buymobile.com.bd/image/cache/catalog/maximus/max-912/max-91-228x228.jpg,https://www.buymobile.com.bd/max-912
HUAWEI,HUAWEI Y7 Pro 2018,"15,990",https://www.buymobile.com.bd/image/cache/catalog/huawei/y7-pro-2018/t11-228x228.jpg,https://www.buymobile.com.bd/huawei-y7-pro-2018
HUAWEI,HUAWEI Y6 Prime (2018),"13,990",https://www.buymobile.com.bd/image/cache/catalog/huawei/y6-prime-2018/y1-228x228.jpg,https://www.buymobile.com.bd/huawei-y6-prime-2018
GPhone,GPhone GP24,"1,199",https://www.buymobile.com.bd/image/cache/catalog/gphone/gp24/gm4-228x228.jpg,https://www.buymobile.com.bd/gphone-gp24
Infinix,Infinix HOT S3,"12,990",https://www.buymobile.com.bd/image/cache/catalog/infinix/hot-s3/b4-228x228.jpg,https://www.buymobile.com.bd/infinix-hot-s3
Micomax,Micomax Canvas M1-Q4261,"9,490",https://www.buymobile.com.bd/image/cache/catalog/micromax/q4261/micromax-canvas-m1-228x228.jpg,https://www.buymobile.com.bd/micromax-canvas-m1-q4261
Kingstar,Kingstar HERO 7,"1,199",https://www.buymobile.com.bd/image/cache/catalog/kingstar/2-228x228.jpg,https://www.buymobile.com.bd/hero-7
Huawei,Huawei Nova 3E,"27,990",https://www.buymobile.com.bd/image/cache/catalog/huawei/nova-3e/n1-228x228.jpg,https://www.buymobile.com.bd/huawei-nova-3e
Oppo,Oppo F7(6GB),"35,990",https://www.buymobile.com.bd/image/cache/catalog/oppo/oppo-f7/o1-228x228.jpg,https://www.buymobile.com.bd/oppo-f7-6gb
UMIDIGI,UMIDIGI Crystal,"10,990",https://www.buymobile.com.bd/image/cache/catalog/umidigi/crystal/b2-228x228.jpg,https://www.buymobile.com.bd/umidigi-crystal
UMIDIGI,UMIDIGI S2 Pro,"32,990",https://www.buymobile.com.bd/image/cache/catalog/umidigi/umidigi-s2-pro/u2-228x228.jpg,https://www.buymobile.com.bd/umidigi-s2-pro
Vivo,Vivo Y71,"12,990",https://www.buymobile.com.bd/image/cache/catalog/vivo/vivo-y71/y1-228x228.jpg,https://www.buymobile.com.bd/vivo-y71
Lava,Lava Pixel V2+,"9,600",https://www.buymobile.com.bd/image/cache/catalog/lava/pixel-v2+/v1-228x228.jpg,https://www.buymobile.com.bd/lava-pixel-v2-plus
Nokia,Nokia 6.1,"29,100",https://www.buymobile.com.bd/image/cache/catalog/nokia/nokia-6-2018/n13-228x228.jpg,https://www.buymobile.com.bd/nokia-6-2018
Nokia,Nokia 7 Plus,"39,999",https://www.buymobile.com.bd/image/cache/catalog/nokia/nokia-7-plus/n1-228x228.jpg,https://www.buymobile.com.bd/nokia-7-plus
Lava,Lava Iris 705,"4,800",https://www.buymobile.com.bd/image/cache/catalog/lava/iri-705/iris-228x228.jpg,https://www.buymobile.com.bd/lava-iris-705
Apple,iPhone 6s Plus(32GB),"55,000",https://www.buymobile.com.bd/image/cache/catalog/apple/iphone-6s/c2-228x228.jpg,https://www.buymobile.com.bd/iphone-6s-32gb
Vivo,Vivo V9,"26,990",https://www.buymobile.com.bd/image/cache/catalog/vivo/vivo-v9/b1-228x228.jpg,https://www.buymobile.com.bd/vivo-v9
Maximus,Maximus M21,950,https://www.buymobile.com.bd/image/cache/catalog/maximus/maximus-m21/b1-228x228.jpg,https://www.buymobile.com.bd/maximus-m21
Maximus,Maximus S8,"1,050",https://www.buymobile.com.bd/image/cache/catalog/maximus/maximus-s8/b1-228x228.jpg,https://www.buymobile.com.bd/maximus-s8
Honey,Honey T005,0,https://www.buymobile.com.bd/image/cache/catalog/honey/t005/b1-228x228.jpg,https://www.buymobile.com.bd/honey-t005
Honey,Honey A1100B,0,https://www.buymobile.com.bd/image/cache/catalog/honey/a1100b/h4-228x228.jpg,https://www.buymobile.com.bd/honey-a1100b
Honey,Honey A1100A,0,https://www.buymobile.com.bd/image/cache/catalog/honey/a1100a/h1-228x228.jpg,https://www.buymobile.com.bd/honey-a1100a
